Tweet,Class
لما تقلّك أولاً مش طايقتك شو إلو لزوم تانياً؟ 😎 ,normal
مصدر هرا هراء مصدر هري هريان هههه,normal
قصدك مليار تحية وبعملة الزلم مليون تريليون تحية ,normal
شخبط شخابيط لخبط لخابيط مسك الألوان و رسم عالحيط عراية نانسي  ,normal
"قطر اختلفت مع كل المحيط العربي لأنو تحالفت مع حليفك الخامنئي ، حليف حليفك يعني حليفك كيف سياستكن يا شياطين ما بعرف ",abusive
لك الله يخليلنا الرئيس؛و يخليلنا المخابرات,normal
هذا المسخ البشري,abusive
مش سوري؟؟ مين وين حضرتك؟؟ في مسيحي قي بلاد الشام مش سوري؟؟,normal
جبران باسيل نكاية برئيس مجلس النواب الفنزويلي يؤيد مادورو  حتى لو انزعجت امريكا,normal
الا الشعب اذا حكى ما بيسمعوا حدا يعني عالجهتين ماكلينا هالدولة متل لي لي بتبزئ عليه بيألك عم تشتي ,normal
كول هوا  مك على ام فالفيردي,abusive
هي واقفه على عماد عثمان فقط اذا دققنا بوضع البلد نجد أن وضعه انهار وسقط من اسقطه لا أحد من نهبه لا أ… ,normal
اذا انتو الفلسطينية منقسمين فتح وحماس كيف السنة والعلوية بدهم يتفقو بعد ماقتل العلويين من السنة اكثر مما قتل اليهود من المسلمين,normal
ما حدا مجنون ومجرم الاّ انت لا غيرك ,abusive
خراس ولا جاهل حشرة,abusive
طيب رد عليها وبلا اكل خرى,abusive
والله كنت هيك بدي رد عليه    ,normal
عفكرة اذا حطينا تنين جبران باسيل فوق بعضهن بيطلعو واحد تميم بن حمد,normal
الفاسد مش خائن,normal
لا تفرد ولا إلغاء نعم لتحرير الطائفة من براثم الاستبداد ,normal
قولك بيعرف معنى هل الحكي ؟؟ ,normal
لو الدولة تحترم نفسها كان انت يالبلطجي في السجن ,abusive
على نهر الجاهلية ,normal
حتى فيصل الزفت القاسم,abusive
انت درزي يا كلب يا فيصل زباله القاسم هذا موضوع لا علاقة له بك يا واطي يا قذر يا عميل و مشرد و كلب الدروز النباح عليه كول من البياره اللي انت فيها و قفل نيعك يا كلب,hate
كول هوا ابو وجهك,abusive
لما قلنا تميم البرغوثي اخونجي سافل احذروه نطو اشقاءنا المصريين وقالو لااااااع ده شاعر وقومجي طيب يلعن بيك على بي القومجية والقومجيين,hate
"يا جماعة مش ملاحظين بعد كل جولة من الكذب والتضليل على التيار ورئيسه ،",normal
صدقا على كلامك رفيق هيدا صاحبو الجديد بدل امين قلو ياهن,normal
وئام زرع شعر شالو من طيزو زرعن براسو من وقتا ضاعت لبوصلة صار يتدشا خرا ,abusive
مين انت يعني حتى عم تهدد انقبر احترم حالك يا نكرة,abusive
وزيركم مخرف,abusive
ضيعان الفهم يا دكتور ؟؟,abusive
"من وقت خدمة واتس آب ، و مردود شركات الاتصالات تراجعت في العالم كله، باستثناء تلك التي تحظر الواتس آب ",normal
إنتا كول هوا وما خصك بسوريا انت خلص بالسترات با واطي,abusive
وئام وهاب الطائفي سبق ووصف المرأة السعودية بشوال الفحم للأسف الإمارات لم نعد… ,hate
غلط كل هدول كرمال جبران باسيل,normal
رئيس روحي؟ تروح روحك انت وكل مين شد عمشدك مش تنعترف بدار خلدة وأميرها الصغير بالأول يا حبيب قلبه,abusive
منحطة بلا أخلاق,abusive
بس جبران باسيل عم يخبص كتيير,normal
فهمه لهالحيوان باسيل ,abusive
أنا بقلك راح الى جهنم بدك تروح لعندو العمى بقلبكم ,abusive
اذا انت أهضم مني زحّط ههههه,normal
طب خود هالكلمتين كول هوا,abusive
ناقص مين يا متخلف انت؟ ليه في انقص منكن؟ انحبستوا و انذليتوا و بعدكن بتعووا عند بن سلمان,abusive
كول هوا انت يلعن زايدك وسلمانك,hate
شكلك يا هانم هائمة و مش عارفة شو في بجنوب العز و الكرامة بصراحة كلامك هو التنك طلعي وشوف ,normal
يامعالي الوزير بلا ماتغرد هون رفع سماعة تلفونك وسال رئيس جمهوريتك القوى ليش تلفنلو ودعاه ونسي دماء شهدا  ,normal
ايضا اسم جبران باسيل الو حصة ببرنامج طوني خليفة   هاهاهاااااااا,normal
شو الأخت إيفا هلق فايقة بتصدقي ما عرفتك بلا مكياج ,normal
رسالة موجّهة إلى كلّ من السيد نصرالله والرئيس برّي والوزير باسيل,normal
كنت بتفضل نهلل للسعودية لو أعطتنا الوديعة ؟؟؟ ,normal
زوجة السيسي ماعندها لايقة بدنية مثل الفرنسية لتنحني,normal
عماد عثمان قاهر ابواق النظام السوري ولما وئام الحمار يحكي ,abusive
يا خيي هالباخرة الكهربا الشرطوطة شو حقا جديدة من الشركة,normal
حب عذري سرمدي  لان التيار وبالأخص خبرة جبران باسيل كفيل بمساعدة المقاومة على تحرير لبنان وفلسطين وفنزويلا,normal
تركية قاهرتكم الله يحمي الرئيس اردوغان   ,normal
استرجاع المال المسروق من النواب والزعماء ودكّهم بالحبس الحل الوحيد لهالبلد وبيصير عنّا وطن جديد وشعب جديد ,normal
واحد كموسيانجي من وين عّم يدفع قسط ابنه ومعيشته بلندن حوالي الف دولار بالسنة من وين عمر,normal
يجد عمامت سوداء طليت بالأبيض احزرو المراوغين ,normal
تحية من قلب فلسطين الى قطر والى اميرها الشيخ تميم وليخسأ قتلة الاطفال في الشام ,abusive
ليك منقص حرف بكلمة ضابط سوي قصدك سوري ,normal
"أريد خطاب واحد للقوات اللبنانية تقول فيه ان الحريرية سياسية كانت خطأ تجاه لبنان وماليته، وخطاب واحد عن فساد نبيه وحركة ا…",normal
وهيك صار نجح الخواجا ب اقناع فيصل كرامي بالتخلي عن الوزير السني ,normal
ياخي الولاد الصغار من عمر تلات سنين بدهم حرق خاصة لما يطلعوا معك بباص بقرفوا,hate
العمى شو كل سنتين ليقبضوك لحتى تغردي هلأ        ,abusive
يا عفيف يا شريف يا طاهر لازم ينعملك مكان لنصير ناخد بركاتك واخلاصك يا حرامي المدينة وقاتل محمد ,normal
جبران باسيل ساجعل المسيحيين في يوم ما ينسون زعامة كميل شمعون و تجربة بشير جميل  ,normal
روسيا المنتصر في سوريا على بشار والارانيين وحزب الشيطان ,normal
نحتاج الى مسؤولين جدد لادارة الوطن ,normal
اذا عاجبينك شفافي تعا خدلك كم بزقة منن بلكي بتزورك البركة حزومي    ,abusive
عباس يا نوري يا قرباطي اعرف من هو اباك اعمل ال د ان اي يا حفيد السستالني,hate
ايننا والثورة ,normal
انت عن جد قابض حالك جد ومفكر حالك متفهم بالسياسة واحد ماءجور وبتحكي مثل ما معلمينك بقلولك هبيلة,abusive
"تعوا نتفق ع شغلة يا مسؤولين، يللي بدّو يسرق يسرق بس بلا ما يخلينا نعرف 😎",normal
فعلا اما دولة او لا دولة ,normal
كسار راس المرتزقة و شذاذ الآفاق,abusive
بعرف مغرد واقف ل نوال بري بالمرصاد على كل تغريدة او صورة بتنزلها,normal
لا يزال نِصفُكَ عالِقٌ في الصندوق الأسود فكّر فيا ,normal
ذم الخليج مئة مره وخص قطر بمذمه واحده تحصل على شهاده بالوطنيه حتى لو كنت وئام وهاب ,normal
صبح ربك او الاوامر جاي بكير لتجعدن ماحده شيطان اكتر منك ,abusive
ارى ان الوطن لا يحتاج الى نوعية زعماء جديدة مثلكم ,normal
كلامك انسان متل هيدا ما في محل الو غير الحبس هوي و امثالهسلطتو ولت ,normal
طعمرك هيدا استفراغ هيدا شعر,abusive
وزير الخارجية اللبناني جبران باسيل امير قطر كسر الحصار على قطر في بادرة لكسر الحصار على القمة العربية التنموية القمة ال…,normal
روح يا سفير السلام انت ,normal
هذول اكراد من جماعة معروفة اسنيورت كلهم اكراد عنصريين,normal
"افهم ما قاله جبران باسيل وأتفهمه، كما افهم موقف حدا جذري متل اسعد ابو خليل، لكن لا افهم ولا اتفهم من يخون هذا او ذا…",normal
شو النوع يلي ضاربو ههههههههههه ,abusive
ما تاكل زق و تنطم يا صالونه ,abusive
كالعادة يوم جديد مليئ بالتخوين بحق جبران باسيل,normal
يعلن الأسد وكل لاعقي الاحذية,abusive
كتير قوية ,normal
غريب أمر هاللبنانيي كيف صايرين يتدخّلوا بأمور الوزرا ويعلموهن شغلن هني في شي مرة تدخّلوا بأموركن؟ اتركوهن ما يعرفوا يشتغلوا 😎,normal
شوي جبران باسيل ما عندو خلاف ايديلوجي مع اسرائيل وشوي أمنها هو حق,normal
عشان مفيش مدرب خراس مرمي فاهم,abusive
كول هوا صارو  ,abusive
بيلبقلو يا بس انت واسيادك الاقزام بتحاولوا تكبروا حالكم لما بتنتقدوا امام الأمة وسيدها وحامي كرامتها يا بلا كرامة,normal
اقسم بالله ما حدا بدو حكيم نفسي الا انت مش طبيعي والله العظيم ,normal
بتحط صورة بتقول السوري يضب غراضه ويرحل وبعدين بتقول ما في ضرورة لتغذية الحقد إنتي حمارة ولا عم تستحمري,abusive
كلنا معك يا بطل هيدي هيي الرجوله بيضل عموقف واحد مش بيبروم ليحمي حالو ومصالحو اتعلمو من وئام وهاب الشرف ,normal
ولاد الحرام حتى كابلات الكهرباء من تحت الأرض نابشينها ومعفشينها ورايحين يشحدوا من الأونروا مصاري,abusive
جبران باسيل يهدد أمن إسرائيل,normal
ضو كول هوا,abusive
فشر برقبته جبران باسيل,abusive
لو بتحييد كنت بترتاح وبترييح,normal
هذول نفسهم بيحبوا الاسد ومعتقلين ان الثورة السورية مؤامرة ويؤيدون قصف المدنيين بصراحة أزبل من اليمين,hate
منور استاذ وئام ,normal
ليه مستغربين من تصريح جبران باسيل أمن إسرائيل هو حق,normal
يا جماعة استخدام الكيماوي جريمة كبيرة لان الكيماوي النا كلنا مو بس للنظام بس خلصت الحرب مفكرين في حنفية مصاري حتى نشتري كيماوي جديد؟؟ نحنا بحاجة كل برميل,normal
هيدى اول كلب تفهم قرار السعودي لانو بلا كرامي معود ع الشحادي,abusive
ولك كول هوا يازلمه,abusive
شيعة بعلبك و الجنوب بيشتغلو بشركات و فنادق في قطر لأنون قرفانين لبنان يلا قررربت,normal
جبران باسيل لا يقل عمالة عن حسن نصرالله,abusive
"يا جبران باسيل انت شو دخلك بلموضوع الخليجي حتى تصرح بهيك تفاهة؟ افشلت القمة، افشلت العهد، افشلت البلد",normal
يا ريت قبل ما تحاول تحكي إنك تبحث عن الحقيقة؛ بس إنت كل همك تسجيل موقف ,normal
مسكين مصدق روحك وأهل لبنان ردو عليك وإيران وروسيا إيش دورهم في سوريا وأنت اكبر داااعم للإرهاب يالمنافق ,abusive
ليش بتكرهيه جبران باسيل أصدق واحد في لبنان والكذابين أكيد مش راح يحبوه  الغيرة قاسية على صاحبها,normal
وحضرت سوريا الى القمة ممثلة بوزير خارجيتها الوزير جبران باسيل يشعر ب الأسف,normal
تاج راسك المشنوق,normal
انا بقول بعلبك بتربح المكسيك 😁,normal
نحنا معك معاليك ,normal
صادق ,normal
اخي علي  أنت لست مدعي عام أو قاضي لتستجوبني أو لتسئلني ماذا ,normal
"عالاقل ميسي طابته كانت عالهدف، الأخ تبع بيرو شاطها عالفضاء الخارجي",normal
الله ياخذك بتقتلو القتيل و بتترحمو عليه انتم مقرفين ,abusive
بعد هالحادثة لازم الدولة تصدر قرار انو لازم كل ناطور بناية يكون عندو كرش تما يقدر يمرق من فتحة التتخيتة ,normal
نزولا يعني مش من قلبك إذا كول هوا,abusive
طز فيك لك اي عرب انتو يلي دمرتو الأمة العربية وقفتو إسرائيل على قدميها وجعلتوها اكثر أمن وأمان  يا عربان قال عرب قحاح قال,abusive
كتوب عربي بالحرف العربي يا بغل منك له ,abusive
والله العظيم أنتم فعلاً اكبر اكذوبة وأغبى من كذا ما فيه ي  ,abusive
توني سليمان فرنجية كلب يتم تحضيره لوراثة أبيه الجحش لا تستغربوا ايه عنا بلبنان الجحش بيخلف كلب,abusive
"لقد رفعت معنويات أكثرية الشعب اللبناني وإذا مش كل الشعب ،في ناس من داخلها بتتشكرك ممكن ما بتقدر تقولها",normal
جبران منافق و ما في داعي تعملولو تجميل و تضلو تدافعو عنو لان بالاخر رح تاكلو الخازوق,abusive
جبران باسيل جمع يلي ما بينجمعوا    ,normal
انت وياه صرماية يا مجوي من أيمتين الصرماية بيلبس صرماية,abusive
عليك بهم يا وئام لا تسكت لا تصمت لا تتراجع رجل ابن رجل وخلك متل ما منعرفك ,normal
الله يكون بعونا عليه على جبران باسيل  ,normal
الملوخية هي سيمبول الحب الجميل اللي من طرفين,normal
ميشال عون جبران باسيل,normal
اللي عندو واسطة بينجح والشاطر,normal
موتني يا بسام عجبتني مزحتك  ,normal
شوي وبيصير عنا ثقافة ولي عهد,normal
يعني عنجد يا ريت بتعطي وصف لحالك والله قرفت العالم منك ,abusive
تجامع البرغوث وحمار خوزان والكل فيهم علتة باطنية ,abusive
عافية الشام عافية الأمة ,normal
روح بيع بطاطا بلا كلام فاضي يا فاضي ,normal
وهاب غياب سوريا عن القمة العربية افقدها اهميتها ,normal
مرة اخرى تحية للوزير جبران باسيل   ,normal
انت رمز العروبه وثابت لا تدور مثل وليد يدور درجه صمالله خايف عليه يدوخخ ,normal
اه يا شوقيري انت ,normal
ليك شو انبسطوا بكلام السيد عن الرئيس ميشال عون  ,normal
وهل يتم السكوت عن تدمير الشعوب والبلدان العربيه من أجل مائة لبناني يعملون بقطر,normal
كلكم خروات يا حكام العرب ومخابراتهم وبيجوا اولاد الكلب بقولولك يعني شو البديل يجو الاخوان والقاعدة لو يجو ويدبحوكن واحد واحد بسكينة مصدية قليل عليكون,abusive
حيوان مقمل وهابي قذر نجس يلا ولاك على خيمتك,hate
وهل تسمع له ما يقول   ,normal
دويلة القرضاوي إلى زوال ,normal
كل واحد فاتح عحسابو انت ما بيعجبك فلان و هداك ما بيعجبوا فلان بلد كل من مين ايدو الو ,normal
بلا ما نفوت نقرالك كول هوا عصحة السلامة,abusive
هذا هو مستوى فهمك وهو دليل على انك حمار,abusive
هذا كلب إيراني ,abusive
يا مين يشتري مشيخة سعد وباكاوية وليد على دونا على دوّي ,normal
آخ يا جبران باسيل شو قاهر عالم انت معلم منا وجر,normal
وشو بالنسبة لطريق المطار والضاحية عندها ازالة عثمان وجماعتك المنطوي تحت عنتريتهم ولكن الله غالب ,normal
لازم يغَيرولا إسما من وزارة الطاقة ل وزارة كان بدنا ننجز بس ما خلّونا,normal
الوزير جبران باسيل كان اول من طرح موضوع عودتهم الى بلدهم ليس انطلاقاً من موقف عنصري معتبرا ان الجميع لاحقاً ,normal
العماد عون رغم قصر قامته من بعد,normal
بعدك عم تعوي يا كلب معراب يلا كوش ولاك مش عم نلحقلكن عضام العمى,abusive
الى وزير خارجية لبنان جبران باسيل اذا أردت ان تكون مثل الشيخ بشير الجميل عليك ان تستشهد الآن يا اخي فقط إستشهد و لك,normal
يا الله عالأخلاص مابموتوا الا باذن من سيادتو سيدي بتسمحلي اموت حالي ياسرائيل واموت معي كام اسرائيلي…,normal
بيكي أندرسون تسأل جبران باسيل المعظم في علم الاقتصاد حول مشاكل لبنان وهو يجيبها بردية زجل عن الشعب اللبناني العظيم معيب,normal
ليك يا حب قبل ما تفهم الموضوع ما بحقلك تحكي واذا حابب تعرف تفاصيل فيك تسأل ,normal
وهاب أنت المحرم الذي يستحق الحبس المؤبد ,normal
ولك دخيلو المعصّب ههههه,normal
يا بلا مخ يا حيوان في الاف بقطر عم يسترزقو مش كرمال يجي راحد متاك صرماية يعمل خلاف روح نقبر ضب زعرانك ع… ,abusive
كان مجتمعنا ينقسم لاسياد و عبيد فجائت الحركة التصحيحية و حققت المساواة بين الجميع و جعلت الكل عبيد,normal
يا أخوتنا في لبنان كونوا على حذّر من مدبّر الفتن في الدول العربية ,normal
اذا كان لواء عثمان عم يدمر مؤسسات الدوله انت عم تعمل فتنه في بلد لعن الله من ايقظها ,normal
و لحشااا عم تحكي مزبوووططط ,normal
لا استبعد اَي ش جبران باسيل إنسان بل اخلاق,abusive
"اذا هالمرة بتقولولنا انو رجعت قصة تشكيل الحكومة للمربع الأول، رح نقلكن أختكن ع إخت هاللعبة ما بقى بدنا نلعب",abusive
اخر صرعات العهر و الشرمطة و النصب و قلة الاخلاق هو جبران باسيل,abusive
سليل الحسب فعلا سليل الجحش ابن الجحش ابن الوحش سليله حيونه بامتياز,abusive
لم يكن خطاب الوزير جبران باسيل في إفتتاح القمة الإقتصادية بمستوى تطلعات اللبنانيين فبدل أن يركز لإطلاع الوفود على ما يع…,normal
ما قصرتي بس بدو اكثررررر من هيك ,normal
لقد أكلنا هواءاً,normal
العاهر الكبير عون…,abusive
عم يقصد جبران باسيل,normal
حالة تستحق الدراسة كيف حافظ الأسد قدر يدجّن أمة كاملة,normal
يا لهم من عرصات من اين ياتون بهذا التفائل,abusive
يحتاج إلى شعب جديد ,normal
يللي عملولك شد عصب وانتخبتن روح شد عصبك ودفاع اشتراك موتور عصر الإنجازات,normal
مين قتل الشهيد وسام الحسن هني نفسهم جوقة البوم يلي حضرتك معلق بزنارهم ,normal
فعلا وبالملموس كلامك صح والف مبروك للناجحين وان شاء الله بتنفرج بالحكومة وخلي هالناس تفرح شوي ,normal
ليك شو رايك تحل عن قطر ؟زهقتنا  ,normal
مساء النور يا زوات كيفكون؟شو الاخبار؟شو في ما في؟شو وضع البلد؟بعدا الرؤوس عم تتحجم وتتدحرج اربا اربا؟,normal
يا معلمنا يطولنا بعمرك ,normal
اتمنى ان أحاورك ولو مرة ولكن في كل ما تكتبه لاقيمة له للأسف مهضوم بتخلينا نضحك ,normal
أين أنت جبران باسيل يا من لو كان لديك ذرة من الوطنية لعملت جاهدا على إنقاذ كارلوس غصن ونزار زكا من سجون الأجانب,normal
كذلك نرى الوئام هو ليس حيادياً او موارباً هومع التحت مع الفقراء والبسطاء الذين يكونون دائماً عند خط ,normal
وهاب ما بيهاب تعلمنا من الوئام أن الشجاعة التي نريدها ونكافئ عليها ليست شجاعة الموت بطريقة مشرّفة بل شجاعة الحياة برجولة ,normal
شو وقفت عا هيذي مش فهمانا ,normal
كلام شعبوي ينم عن جهل بكيفية عمل شركات الخلوي ما في شركات أخذت أي خدمات من الشركات ,normal
ما تردو عليها هيدي المخلوقة بتتنفس فتن وبدا تعمل فتنة بين جمهور المقاومة وجمهور التيار والوزير باسيل هو…,normal
بدنا نضل ونغير لبقر لمتلك يا خروف خروف ,abusive
سينهار اكثر وأكثر لطالما نموذج وئام وهام موجود في مجتمعنا ,hate
لا دولة دون محاسبة الفاسدين ,normal
هربت منو بالبيجامة فا لا تحكي كلام اكبر منك لعاب على قدك يا صغير ,normal
عندما تنهق تضحك الحمير ,abusive
هيدا مستواك وهيدي أخلاقك,normal
وانا من كتار بقترح وبطالب يعرضوك عا طبيب بيطري ,abusive
عن اي دولة يا قائد و القضاء فيها تابع لرجال السياسة ,normal
وئومي دخلك ما علقت عالمنظر الميليشيوي يلي صار قدام بيت حسن يعقوب يا شريف يا عفيف فينا نعرف ليش؟؟؟؟ ,normal
الكل يتكلم عن الفساد والكل يُتهم الطرف الاخر وكأن الاشباح هي الفاسدة وأهل السلطة أهل الخير والشرف مش مقبول,normal
انت كول هوا نحن حرين إنتوا أعداء الله والإنسانية على الأرض,abusive
كل من يفصل بين الرئيس ميشال عون والوزير جبران باسيل أراه واهماً,normal
ياااااااااااا كثرهممممممممممم ,normal
بموضوع التيار الوطني الحر و الوزير جبران باسيل و علاقة حزب الله معهم   بعتقد لازم كتار يبلعو لساناتهم,normal
جبران باسيل لا يقصد هذا الكلام مقاوم صف اول    ,normal
المحجبة ليست أمية ولا جاهلة صورة عنصرية مقززة لا تمت إلى الروعة بصلة,normal
جبران باسيل هو قليل من بشير جميل و قليل من سمير جعجع وفارس سعيد,normal
طيب اذا انت حمار شو بعملك هههه,abusive
"يبدو أن صابر، نائب رئيس التيار الوطني الحر، نسي رفض التيار سابقاً توزير نائب وبالتالي جبران باسيل لن يكون وزير خارجية في…",normal
ما بسلم عليك اللواء ب بقلك بس يجيه مذكرة يجيبك بجيبك   ,normal
جبران باسيل قصف جبهتكم هههههههههه,normal
على الجرح جبتلن هيي ,normal
ملعون هو وابوه وابو عيلتو وابو اسرائيل على ابو الي بدو يروح ع اسرائيل لعمى اوقح من السوريين المعارضين وانذل واخون انا ماشفت ولاعيني رأت,hate
الجرذ جبران باسيل يفتل عضلاته بوضعه لوحة في المنبر الرئيسي لاجتماع القمة كتب عليها وزير الخارجية مخالفا لما جرت علي…,abusive
عاهاتك ياوطن,abusive
وسيادتك انت شو محلك من الاعراب حتى اذا دمرت قطرررررررر وقصفتها اكثر من ماسح احذية للسيد وبشار مارح تترفع ,abusive
أمر عمليات اليوم جبران باسيل ينفذ اوامر الولايات المتحدة وإسرائيل ويريد تغيير عقيدة الجيش,normal
حط صرماية بتمك وتم يلي خلفك فهمت ولاك كلب,abusive
انسانة حرة وصادقة مع نفسك ومع الناس الي حواليكي ومابتغير مبدأئك مع تغيير الظروف والداعمين,normal
عم أحكي عن الجعفري يا بهيمة نظام الجعفري قتل نص مليون وهجّر نص الشعب حرفياً لأنه طلعوا مظاهرات ضده وبعدين بتقلي إني أنا يلي ما بفهم بآداب الحوار؟ بهيمة بتجيب المسبة لحالها شو بدنا نقول 🤷🏻‍♂️😂,abusive
الكهربا فقاسة صيصان  الخارجية سياحة وسفر لجبران  وزارة الفساد حاميها ,normal
لا والله ساقطة,abusive
ما تكون متل جبران باسيل,normal
"المقارنة بين جبران باسيل والدكتور سمير جعجع لا تجوز،الاول ناشئ في السياسة والثاني زعي…",normal
الاوصة ما بقى في تلا جبران باسيل,normal
عووي يا كلب ,abusive
كول هوا يا ابن الكلب,abusive
في الداخل وفي الخارج موقفنا واحد لا يتغير لبنان ولبنان وثم لبنان هذا هو جبران باسيل,normal
خراس ولا حيوان انا مني من جماعة ريفي لكن أنا بفتخر بالرجال وليس بالطانتات متل معلمك جحش قريطم   ,abusive
معاليك في ناس كتير بتنسى اصلها على رأي المثل قال بتعرفو شو مشكلة الديك بينسى انو كان صوص ,normal
عندي افكار كتير حلوة و بتخدم الحزب    ,normal
حماك الله استاذ وئام الكبير ,normal
جبران باسيل من فشل إلى فشل بقيادة عائلة الفشل العونية المنصب الصحيح له هو مساح احذية في شارع الحمرا…,hate
سؤال لحضرتك أين من تمدحهم بالليل والنهار,normal
طول ما الحمار ساكت راح يبقى الكلب راكب ,normal
عندما يذوب التلج يبان المرج واذا ناطر عثمان ليضع الاصفاد منقلك نطور يا كديش ليطلع الحشيش ,abusive
رسمة قديمة رسمتها لرزان زيتونة رزان تمثل لي أحلى شي بسوريا وأحلى شي بثورة,normal
ومين القنصلية يلي رح تضل بتركيا وما تشك إنه تركيا بتجسس عليها الموضوع حيضر حتى تركيا,normal
هوي بيكره كل العرب ما بفرق والولاء للتومان الإيراني ,normal
جبران باسيل يغرّد عن رحيل مي منسى لبنان سيفتقد روحك الجميلة,normal
طويلة على رقبتك,normal
اقترح عالدولة تستحي على حالها و تضبك بشي سجن نرتاح من فتنتك أو ياخدوك ع دير الصليب يعالجوك خلصنا هبل قرفتنا ,normal
لاعق أحذية يا قطيش مش بايدك,abusive
مشكلتك حمار ورح تبقى طول عمرك حماااااار ,abusive
ما هو ضمن عاهرات ,abusive
لست أنا الذي يبكي كالحريمات,normal
انتو العونية ضيعان الحكي  معكون  ارطيط كلاب  كيف الله بلى لبنان فيكون,hate
اول حرف من اسمو جبران جرجي باسيل,normal
في مثل هذا اليوم فطس بغل الأمة,abusive
مين انت يعني حتى عم تهدد انقبر احترم حالك يا نكرة,abusive
يا وئام عم تخرب صاير كلو تامر علينا الوهابي والاخونجي فقط للأمانة ,normal
معالي جبران باسيل فوت عمكتب عمك فتاح الجارور التاني عيمينك بتلاقي المراسيم العشرة للصبايا والشباب فيهون مسيحية ومسلمين  ,normal
العما بقلبو عمي شو حقير وسافل وحاقد هل واطي ولك مع الديمول ما بينهضم,abusive
ويل لامة تولي عليها مجموعة من الأرذال ,abusive
فضيلة الشيخ وعامل مسبح شو هالصاحب الفضيله ,normal
محل نقاط امك يا حلوة ,abusive
كول نديم قطيش لانو هوا متلك,abusive
لا وصف يليق بك الا انك رخييص و تافه.,abusive
قبل نفوق المقبور حافظ واسرائيل تضرب سوريا الى اليوم وبدون رد شو السبب يا وهاب,normal
شاحت الوجييه الله يخزيه وين ماكان هو وعزمي فشاره والعصملي حريم السلطان ,abusive
نعم ان الله لا يغير ما بقوم حتى يغيروا ما بأنفسهم وكما تكونوا يولى عليكم صدق الله العظيم ,normal
جبران باسيل عام ما عنا مشكلة ايديلوجية مع اسرائيل من حقها تعيش بسلام,normal
يبغالنا نتصل على السفير ثامر السبهان يحط جزمه بحلقك ياخيي ما بدنا نعمل مشكل مع حدا تفوووووووو يا مرتزق ,abusive
تيار المستهبل يحكمه الحميري,hate
نحتاج سليمان فرنجية رئيس للجمهورية و فيصل كرامي رئيس حكومة و بري رئيس مجلس النواب و وهاب و السيد و الشرفاء نواب,normal
لما ال تطالع إنسان ذو صفات من فصيلة الرخويات,abusive
أنا مش عم قول ما في مشكلة بس المشكلة ليس من جبران باسيل ولا من الرئيس عون,normal
سد نيعك يا وسخ شيخ سعد صباطو بشرف عيلتك يا كلب,abusive
للأعلى يا رب والله يطول عمرك رئيسسنا ,normal
بعده هالبغل عايش ,abusive
شو حلو لو منربط لسانك بسلك كهربا بس مش من لبنان من الدولة الشقيقة وتكون فيها الكهربا ونخلي الفولتا… ,abusive
انت صوت الحق ,normal
"وصف جبران باسيل زيارة الأمير القطري بخرق الحصار اثار حفيظة دول مجلس التعاون الخليجي، وعلمت اللواء ان أعضاء في وفد عر…",normal
متعشى ومتقل الظاهر وطالعلك اللوأ عثمان بالكابوس كول خفيف قبل ما تنام بلش درب حالك على اكل اللبنه رح تحتاجها ,normal
ما هوي لو بياكل سرماية بعيد عنا بقول يعدمني يا فكروا اذا بصرخوا صوتهن بيوصل   ,abusive
نحتاح شعب جديد ,normal
نظرة سريعة على ثروة جبران باسيل صهر الجنرال تدل على ان العونيين ليسوا فقط محترفين في الفساد,normal
"لك وهاب حبيبي في دكتور شاطر اذا بتحب ببعتلك العنوان ، بعالجك والله ، انا بس كرمال ما تبليش تلبوس سوبر مان وتكسر ش… ",normal
شكراً جبران باسيل لانك ضمانتنا    ,normal
قلو ل جعجع يسد بوزو وانت خراس معو,abusive
مشكلتهن بينسوا واقعهن المرير حاسبين حالن شغلة كبيرة ,normal
له يا عكروت صاير عم تحكي كلام اكبر منك,abusive
وئام وهاب عميل مأجور عند نظام الاسد انت ومن معك طائفة الموحدين براء منك ومن افعالك بدي قلك شي وخليهم بر… ,abusive
وإنشاءالله ستبقى نور ,normal
وانت شو تعتبر حالك وانت موالي لهذا الحرباء جن بلاط ههههه ,abusive
يسعد صباحك معالي الوزير ,normal
التفاتة جميلة منك استاذة ديمة,normal
كل دولة بتدعم الاقتصاد اللبناني نحن معها ,normal
ناهب الدولة مش خائن,normal
ومعلمك وجه له دعوة فيك تواجهوا شخصيا ,normal
هاد ع فكرة كان صحبة كتير مع جدي وعينه مدير عام الريجي ولما ساووا انقلاب حطوه لجدي بالحبس شوي وبعدين اعتقال جبري,normal
صحيفة جبران باسيل يزور دمشق قريبًا,normal
وانت العاهرة اللي بتحاضر بالعفة   ,abusive
طز بهيك دولة والف طز بالحريري الفاسد,hate
صحافة أردوغان بلشت تخوّف أوروبا من موجة لاجئين جديدة شكله الحدود التركية رح تتسكر بوش يلي بده يحاول يطلع من إدلب,normal
هات كلمة حب جبران باسيل وحبه لأمن الكيان الصهيوني,normal
اسسس شو رامبو انتي حبيب فياض حر برأيه تماما متل ما جبران باسيل حر برأيه و حكيه المستفز كتير روق يا غرندايزر ,normal
نحتاج إلى غسيل دماغ جديد وكلّو بيرجع تمام بإذن الله   شرعوها للحشيشة ,normal
انت بوق ايراني مجوسي رخيص سعرك كلفول السوداني,hate
