Comment,Majority_Label
دحيح لم اليله انا حلاق وي متبعك ,Non-Offensive
@User.IDX @User.IDX كيف تسمح لهم انفسهم الانجاب في هذي الضروف اللعنه على الاهالي الي يقبلون ان اولادهم يعيشون نفس معاناتهم ,Offensive
برشلونة رمز الحرية والمقاومة ضد الاضطهاد اكتر من مجرد نادي 😍😍 ,Non-Offensive
نفسي أكون مثل دولا الغظماء ,Non-Offensive
@User.IDX الملك عبد الله الثاني بن الحسين المعظم ,Non-Offensive
"@User.IDX لعنة الله عليه دنيا وآخره وعلى كل من يشد على يده، الحمد لله الخبر منشور في صحيفة نيويورك تايمز ولكن فرقعات عربية حتى لا يُترك مجال للتشكيك. ",Offensive
@User.IDX عوضه الله عن ابنه الذي انتحر بجد خنقتني العبرة عندما قال بقيت بطل بس مالقيت مقابل... لما يا أوطاننا تضيق بين جنباتك أحلامنا لما كل هذا الظلم ؟ ,Non-Offensive
حبيب السوريين انت انزل عسوريا وخصوصا حلب لتاكل اطيب اكل بالدنيا كلا 😂 شاورما سوري ,Non-Offensive
@User.IDX كيف يمكن لقصر الوجبه حماية مؤخراتهم بعد ان اصبحت مكشوفه للترك والفرس !😂😂 والله وبالله لو انا مكان تميم لأرضى من محمد بن سلمان بأي شي مهماً كان هذا ولد عمي وقد قال ابا الجهل ( لاعار على رجل قتله قومه) اجل لو يشوف ابو جهل تميم حي ومسلم شرفه للتر,Offensive
حلقة غير حيادية و غير موفقة و غير متفقة مع واقع الأحداث ,Non-Offensive
@User.IDX حزنني😭 سيت وليد فري بليز😭😭 ,Non-Offensive
@User.IDX @User.IDX لا تنسون دور الإمبراطورية العثمانية وتسهيلها أيضاً للهجرة اليهود للعالم العربي على مدى خمس مائة سنة وهذي صورة عملة تذكارية 😐 <url> ,Non-Offensive
"@User.IDX يا ليل الحين وين نلقى جوال يتعفط ، متأزمين يا سامسونغ ",Non-Offensive
هذا هو صار الحين بين الشباب الواحد يتفاخر بأنه بزرنجي وانه جاب راس فلان والكلام هذا جد ولا يخفى على احد والمشكلة فيه بعضهم متزوجين والعتب على الاسرة اولا والمحكمة ثانيا لانه لا بتحكم بشرع الله ولاهم يحزنون تلاقي اثنين مكفوشين تحكمهم ٦ سنين بس والصح انه ترجمهم وتصلبهم لين تخيس جثثهم ولا يدفنون بمقابر المسلمين والله الشغله سهل القضاء عليها بس يبيلها (قمع) لاكن قالها رسول الله قاضي بالجنة وقاضيين بالنار ,Non-Offensive
@User.IDX هذا أسلوبكم ياعيال الكلب بسكم كذب لابوكم لا ابو من يتبعكم ويأيدكم انتو وقطرائيل اتفو على قردوقان والحمدين وفوقهم تيمو ,Offensive
@User.IDX ماكرون في حاوية القطرجية اذا يواصل يدافع عن شبكة تجسسية. ,Non-Offensive
عندي اقتراح للشعب العراقي يمكن انو يحل كل ازماتهم نطلع كل الشعب العراقي نصلي صلاة جماعه و ندعو الله و نبتهل من كل قلوبنا انو الله يفرج عنه عسى ان الله ان يفرج عنه اذا عجبك المنشور سوي مشاركه حتى يوصل الاقتراح اكبر عدد من الناس الدعوه تشمل كل اطياف الشعب العراقي و كل الاديان و القوميات و حتى الملحدين و البوذيه و الوثنيه و كل ديانه او معتقد ,Non-Offensive
ابو نتاشا😂😂😂😂😂😂😂😂😂😂 ههههه لا ما ضل احنا العرب يسمينا كفار جد مين ضل هههههه جد مسخره يعني بالاصل ما بصير حدا يحكي عن حدا كافر ,Offensive
حلو الجو ده اوي يا صاحبي متعمل شغل مقارب لده عجبتني فكرته جدا وبيوصل الكلمات لقلب الواحد اكتر Ȝamo Kareem Gad ,Non-Offensive
"@User.IDX حتى تميم وظف عزمي بشارا ووظف القرضاوي وائبن القرضاوي مستشر لي ال،طاغوط تميم نحن دائمن نلتزموا السمة نتركوا المسؤلية لي اشعب القطري هم يرون ماذا يقع فيهم ",Non-Offensive
@User.IDX يقول كتاب المسلمين المقدس في سورة التوبة: (إن عدة الشهور عند الله اثنا عشر شهرا في كتاب الله يوم خلق السماوات والارض منها أربعة حرم ذلك الدين القيم) آية 36 ,Non-Offensive
تحية من الجزائر 🇩🇿 الى جميع الاخوة العرب 🇧🇭🇪🇬🇾🇪🇦🇪🇹🇳🇸🇾🇸🇩🇸🇴🇸🇦🇶🇦🇵🇸🇲🇷🇱🇧🇯🇴🇱🇾🇰🇼🇮🇶 ,Non-Offensive
@User.IDX العسکر هم العسکر لا یتغیرو ولن یتغیرو✋ #تجمع_المهنيين_السودانيين_يمثلني #لم_تسقط_بعد ,Non-Offensive
احلى شي بكل الحلقة ضحكتك 😄😂 ,Non-Offensive
@User.IDX شكله اكبر من قطر 😂😂😂😂 ,Non-Offensive
من هو المجنون الذي قد يصدق ان 10 سنين تكفيك لتعيش بثلاجة مليئة بالماء فقط هل يعقل انه عاش هذه التجربه بدون مروره مجموعة غينيس 😂 ,Non-Offensive
@User.IDX يوجد خطوط مزحومة وخطوط ماحصلت مسافرين يعني اجرو طائراتها على قرد وغان ,Offensive
@User.IDX عندما يحاول الحمار تعلم فن الابتزاز ,Offensive
الصحراء للمغرب والي المغربوحفظ الله المغرب وشعبها ,Non-Offensive
@User.IDX انت مقتنع بالسؤال اصلا ؟؟ ياسيدى احنا العرب بنقاطع بس العرب اللى زييينا وبس ,Non-Offensive
@User.IDX بوسعدى كذابين من الله خلقهم ,Non-Offensive
موضوع الحلقة هو تقريبا غكرة فيلم الحدود (فيلم لبناني قديم)  <url> ,Non-Offensive
@User.IDX انتبهواذافرضناان هذاصدق لليجيكم نفس المصيرمن يهددالسعودية هذامصرية ,Non-Offensive
اعجبتني الفقير يستهلك والغني يكبر 🌝.. اكيد الفقير بيستهلك لانه فقير يحتاج اشياء كثيره بعكس الغني كل شي متوفر عنده ,Non-Offensive
عمر انته ممثل في برنامج الجامعه ,Non-Offensive
عمر حسين الله يوفقك ويسهل امرك يابطل ,Non-Offensive
بحترم جدا الاعلام الهادف المحايد صاحب الرساله اللى بتقدمه يا نيكولاس فى السليط الاخبارى ربنا يوفقك انت وكل فريق العمل شئ مشرف بجد .. ,Non-Offensive
مالذي قدمته ايران للعراق غير الخراب والدمار والمخدرات والمزابل بينما الخليج دفع المليارات في مؤتمر اعاده اعمار العراق وايران مادفعت ولافلس ومع هذا تجد العراقيين يشتمونا !! ايران تدمر والخليج يبني ,Offensive
@User.IDX يكرم من يقرأ. شِخ ونام 🤣🤣🤣 ,Offensive
الاسبوع اللي راح طفيت جوالي الايفون وحطيت الشريحة في كشاف نوكيا لمدة أسبوع والله فضاوة وراااحه وانجاز ,Non-Offensive
الحمد لله كنت ناوي اجرب السوشي . بس انا والدي نصحني اني مأكلش أي حاجه مش مطبوخه جيدا لأن في الاغلب الجراثيم والبكتيريا و الحاجات الي في اللحمه هتفضل زي ما هي موجوده لو مطبخش الاكل كويس ,Non-Offensive
الغلط والجريمة بتكون من الخمس اشخاص يلي ما انتبهو للقطار وواقفين بمكان غلط وانت عملت كلشي عليك لتنقذن وما قدرت ولكن لما انت تروح السكة التانية عشان تقتل شخص بغض النظر انك انقذت خمس اشخاص ولكن انت قتلت شخص بارادتك ورغبتك يعني صرت انت القاتل وهيك بتقدر تقول ان يلي اختار القتل بارادتو هاد انسان غلط ويلي ترك الامور تمشي بحالها هاد الشخص العقلاني والصح ومن هون بنستنتج انو الواحد ما لازم يمشي ورا عواطفو بالامور الحاسمة بحياتو لان بتخليه يكون مجرم وهو بضل عايش بوهم البطل ,Non-Offensive
سوريا .في عنا جحش صار رئيس ,Offensive
من يرضى الزنى لبنات الناس ! و يمارسه بكل حرية ! فليخبر نخوته و رجولته هل يقبلها على امه او أخته او عمته او عشيرته و في الأخير نقطة ظعفه و مستقر غيرته زوجته ؟ مجرد سؤال ؟ ,Non-Offensive
ما يجوز الموسيفى الله يسعدك ,Non-Offensive
وراه الشيخ ساحب عليك ؟ 😂 ,Non-Offensive
والله الكن وحشي وبرافو عليكم حكيتو يلي ما حدا حكا واي يدنا سليييططططط رجعو ,Non-Offensive
@User.IDX حتى هذا الخبر لم يتم ذكر اردوغان فيه وانه السبب الرئيسي للمشكلة بل تم تحميلها على رئيس بلدية اسطنبول واظهاره كمتناقض. ,Non-Offensive
@User.IDX نفتخر فيك وان شاء الله راح توصل 🚘 ونشكر والده وكل اهله والناس اللي حوله على دعمه يستحق شهاب ,Non-Offensive
@User.IDX هدا رأيك لا يهم أحد ,Non-Offensive
@User.IDX تجديد بيـعة جنود الخلافـ ـة في سيناء للشيخ الحافظ أبي بكر البغدادي إغاظةً للمرتـدين والمنافقين والخوارين☝️🏻 فأبشر يا أمير المؤمنين بأنّ لك جنودا لا ينامون على ضيم .. <url> ,Non-Offensive
للأمانه إستاذ عمر قريب جداًطحت على يومياتك اعجبتني فكرة الجولة من منظور طفل مستقبل مخرج 👍 ,Non-Offensive
الالكترون جسيم مادى لة خواص موجية مش سالب ,Non-Offensive
@User.IDX على الاقل ماقتل ابناء عمه والا انقلب على ابوه عشان يحكم ,Non-Offensive
"@User.IDX هل نسوا ان هنالك يوم قيامة ورب سيحاسب ، هل هم في غفلة من امرهم ، هل هم في وعيهم هل هم مسلمون ، انه الأقصى اولى قبلتكم ، انه العهدة الإلاهية في ذمتكم تفرطون فيه، ماذا ستقولون يوم السؤال ، وربكم ستحشرون مع اوليائكم الصهاينة والخزي لكم يوم الدين لن",Non-Offensive
Ayman Ed عابر سبيل طمنو خالي بدن يرجعو يصنعوه بس انشالله يكون فرلندي 😂😂😂 ,Non-Offensive
شوووو بدكن فيا لسا كل ماحدا عمل شغلة بيلحقوه لك تركو العالم بحالها قال بيطلع مشان مايصير قاتل بيجي بصير قاتل انترنت لو انتو زلم كان حكيتو عن ملك السعودية ورئساء العرب اللي لعنو نفس فلسطين وسوريا بس مو شاطرين الا ع بعض لازم اللي معيشكن يطعمي عقولكن قبل بطونكن واذا انت معيش حالك اعطف ع عقلك وطعميه ,Non-Offensive
@User.IDX المصدر قناة الجزيرة يعني أن الخبر غير صحيح أو على الأقل نصف الخبر كاذب . ,Non-Offensive
بحب السليط الأخبار لأنو بيقول الحقيقة ,Non-Offensive
@User.IDX قال من بنى الفرن طلبوا فرن بمقاسات كبيره وقال الشخص الذي يحكي الجريمه بالتدقيق انهم قطعو الجثه لأنه كان طويل 😂😂اتفقو اولا ثم اكذبوو ,Non-Offensive
@User.IDX ضرب مخططتكم النجس المسمى ( الدمار العربي ) لعنكم الله يافتنه. ولعن الله من ايقض الفتنه ,Offensive
ماذا عن صلاة الصبح ؟ ,Non-Offensive
@User.IDX خلوكم في قضية خاشقجي السعوديه وحكامها عندهم مشاريع ازدهار البلد وانتم حتى تميم ماصرتو تدرون عنه هو في قطر ولا برا وبن سلمان تلاحقونه في كل مكان علشان تعرفون اخباره ,Non-Offensive
في بلاد العرب أوطاني يتم تربية الطلاب على العنف. يتم تعنيفهم من قبل المعلمين ومن قبل الأهل. لذلك نحن مجتمعات همجية عنيفة هناك غريزة ثابتة في البشر تتجه إلى العنف مالم يتم تهذيبها. ,Non-Offensive
"إنه البظرميط المشفي! الفيديو ليس فيه معلومة واحدة صحيحة مثبتة.. فضلا عن أن يكون فيه معلومة مفيدة.. إذا كنت فعلا عاوز تقدم للناس علم فلازم يكون علم صحيح تم إثباته.. ثم تنشر ما يفيد، لكن خيال بظرميطي كدا !! شيء مؤسف، وطبعا عندك تعليق فوق يجعل الدين مجرد تفسير بدائي للكون ويجب تجاهله مع التقدم العلمي الحالي.. دا على اعتبار إن الافتكاسات دي علم.. وكالات الفضاء أصبحت عبارة عن بؤر لنشر الأكاذيب.. واحنا ولا يهمنا صحة المعلومة ولا شيء.. المهم المتعة الفارغة.. ",Non-Offensive
@User.IDX اعود بالله من الخيانة و البرص الربا والميلة و المسكنة 🔏 ,Non-Offensive
@User.IDX الشعب الجزائري شعب حر لا يستهان به! لا يحكمه لا ملك و لا رئيس و لا شيخ و لا شيخة. رئيس جمهورية نفسه. شعب يحكم نفسه وهو الامر الناهي. #لا_للعهدة_الخامسة ,Non-Offensive
الدم العربي صار رخيص من ورا الحكام الانجاس ولا تتامل خير من ملكك لان اصلو يهودي وما بحك جلدك الا ظفرك ولو انوا الحادث مقلوب كان الملك الخنزير صار شهم وبسلمكم فورا للانجاس لا حولا ولا قوة الا باللة من هيك حكام ,Offensive
لكل الي عندهم قناه او يريدون يسون قناه و ما عنده لابتوب و لا يعرف برامج المونتاج الي يحتاجها او ما يعرف افضل برامج المونتاج -------- يشوف اخر مقطع لي ----------------------------- (= ,Non-Offensive
@User.IDX الجزيرة كالعاهره التي تأكل من سديها ,Offensive
@User.IDX @User.IDX @User.IDX بلا سلة غذاء العالم بلا زفت اصلا ما مضيعنا الا العالم وخصوصا العالم العربي الي شايفنا عبارة عن ماء وخبز و لحم يملي بيها كرشو اما الشعب السوداني يحرق في 60. السودان سلة غذاء السودانيين فقط.للمعلوميه عمر السودان ما كان سلة غذاء,Non-Offensive
انت طلعت اشياء في انفسنا يا عمر .. في خضم زحمة مواقع التواصل مافي احد فكر يتكلم في مثل هالموضوع .. ابدا .. ا ب د ا #شكرا ,Non-Offensive
الاسلام هو الحضارة والتقدم راجع التاريخ ..ومافي داعي للاستخفاف بالعقول العربية المسلمة.....اذا استمرت هالسخافة رح ألغي الاشتراك ,Non-Offensive
يا دحيح بالله عليك عاوزين حلقه عن ناسااا ياريت ال موافق على الفكره يضغط لايك عشان الدحيح يقطنع😉😉 ,Non-Offensive
انا ضد الناس الي كرهانين مروة انا برأيي مروة كتير مهضومة ,Non-Offensive
"في البداية أحييك ع الجهد الجميل والتوثيق الرائع واشكرك على المعلومات القيمة الي تقدمها لكن عندي تصحيح صغييييير لك , ذكرت المنظور أكثر من مره وبالغتين وتصحيحي إن المنظور يترجم ب Perspective وليس Porspective كما ذكرت ولك كامل الشكر و التقدير ",Non-Offensive
اخي ولله تلت دقايق ما بيكفوا.... طول الحلقات!! ,Non-Offensive
هههههههههه تطوراتك الانتاجية في تقدم ممكن تعلمني حركة الطاولة المرورية شكرا . ,Non-Offensive
@User.IDX ياك الموت يا تارك الصلاة 🤣 ,Non-Offensive
محتاجين حلقه عن مقوله التاريخ يعيد نفسه فهل يمكن ان شخص يخطو خطوات شخص مااات سابقا ينتهي الحال تكون مثله ... يعني تختار شخص غني و تحاول تقلد كل تجاربه و ثقافته و اسلوب حياته هل ينتهي الحال بنظريه التاريخ يعيد نفسه بشخصيات مختلفه ,Non-Offensive
@User.IDX الجزيرة اكلوا تراب بموضوع ترامب رجعوا لسيدهم سعود القحطاني ,Offensive
يتنافس الاعلام المصري للحصول على جائزة نوبل في التعريص. ياتري من سيكون الفائز? ,Non-Offensive
الهدرة كلمة يمنية وتعني الكلام ,Non-Offensive
برأيي باخذ قاعدة من مشهور الدبيان في إعلانات كصانع محتوى أن إذا جاني شركة تبغا تسوي معايا إعلان لازم أخذ سبب يستاهل أو حتى يعجبني منتج زي لو جاني مطعم و قالولي أسوي إعلان عن طبق جديد إذ أعجبني أسوي له إعلان و إذ لا ما في إعلان :) يليت تشوف قناتي وأنت تقرر يستاهل اشتراك أم لا للمعلومية : قرار بيدك :) وشكرا ,Non-Offensive
ولسا احنا شعب. عايش علي الاعانات والمساعدات وهم حكومتنا تخلي ااشعب جعان. ال تخصم راتب المساكين بدل مافي الاف الشباب طاقات بشرية وعندها علم وابتكار ,Non-Offensive
ما حبيت الرقص مو لايق مع المحتوى و ترجعوا بالسلامة بدون رقص ,Non-Offensive
إذهب أنت وبلدك الى الجحيم ترامب أما المسلمين الله إعاونكم ,Offensive
@User.IDX اللي اوله شرط آخره رضا رجعوا فلوس الجماعة ولا تبيعوا حقوق مبارياتكم من الاول ,Non-Offensive
ماعم شوف غير عيون كبريتية مو نظيفة وطين بكل مكان ونفايات حولها ....!!؟؟! استيقظو قبل ان تنقرضو هاد اللي خلولكن ياه حمام تتباركو فيه ....! العراق كانت منارة العلم والحضارة والثقافة ... استيقظو... ,Non-Offensive
@User.IDX ما في مثل الأم الله يكتب لها الأجر على تعبها وصبرها ويحفظه لها ويصلحه ❤️ ,Non-Offensive
@User.IDX وإن لم تستحي فافعل ما شئت <url> ,Non-Offensive
انا اسمي شعبان وعايش عادي 🤣😂🤣🤣🤣🤣🤣🤣 ,Non-Offensive
مااشوف اي عنصريه؟دوله تبي الرخاء لمواطنيها! حبكت الا المقيمين يبون هالمستشفى فيه مستشفيات كثير بالكويت! مابنو هالمستشفى الا اكيد فيه ضغط اشوفه شيء حلو يخف الضغط على باقي المستشفيات والكل يتعالج كل شيء حطيتوه بالعنصريه! ,Non-Offensive
اكثر انسان تجحفل في يوم واحد 😂😂😂💔 كللللهم كرشوه ,Non-Offensive
أكرم مخلوق عند الله هو سيدنا محمد ﷺ ومن يحبه أحبّه الله .. صلوا عليه ,Non-Offensive
قناة مفبركة تابعة لقطر والجزيرة وكل من فيها منافق ,Offensive
@User.IDX لا وألف لا لبوتفليقة وأربعين حرامي نعم للتغيير وسنواصل مسيراتنا السلمية هذا اليوم 26/02/2019 وكذا 1 مارس 2019 بعد صلاة الجمعة وسنقدم فيها الورود للشرطة تحت شعار (دولة والشعب خاوة خاوة) ,Non-Offensive
@User.IDX عندما يتم دعس راس الكلب يبدا في النباح فقط ,Offensive
@User.IDX حسبي الله ونعم الوكيل ربي يحميهم ,Non-Offensive
تغيرت الجودة سواء بالنسبة للصوت او للصورة لماذا ؟! ,Non-Offensive
من اجمل قنوات الفلوقير والله لازم يكون عندك اقل شي مليونين وشكرا على الفيديو ,Non-Offensive
"مسويه حساب يوتيوب خصيصاً عشان اقولك انت رهيب مرررررررررّة , تراني كسوله وفتح حساب يعتبرانجاز ",Non-Offensive
"""@User.IDX @User.IDX كالعادة حلقة متميّزة و خاصة من خلال طرح الأسئلة في نهاية كلّ حلقة👍🏼. و ردّا على سؤالكم في عدم إنكماش الجسم هو في تساوي ضغط الدّم مع الضّغط الجوي، مع التأكيد على أن ضغط الدّم يختلف من شخص إلى آخر حسب الجنس و حسب العمرو يتأثر بعدة عوامل خارجية أخرى: """" نشاط بدني، حالة نفسية و إلخ"""".. """,Non-Offensive
تحسن في مستوى تقديمك وانتاجك للفيديو بس صوت الموسيقى نقصه شويتين ,Non-Offensive
"@User.IDX نسأل الله ان يجمع شمل هذه الأمة ويقوي شوكتها ،لعل ما فرقتهم السياسة تجمعه الرياضة 🌹 ",Non-Offensive
النص سريع جداً ولا يمكنني قراءته قبل أن يزول ,Non-Offensive
يعيال الحين انتو الي في التعليقات كلكم تفكرو تصيرو زي عمر وكذا بس كل واحد وطريقته في الحياه ولا انا لحالي 😊 مو شرط زيه لا بس تاخذو من عمر اشياء تضيفها لنفسك ف الانسان ضروري يطور ,Non-Offensive
ههههههههههههه مقاطعك خورافية ي شيخ #اصحاب_عمر شكلي تحمست ,Non-Offensive
سبحان الله((خفت الدم لو ما أجت من ربي سيبوها )) ,Non-Offensive
@User.IDX اعتقد انه تم اغتصاب النفجان و الهذلول و لن يسمح لهم بالخروج من السجن و اعتقد ان بن سلمان شاهد فيديو الاغتصاب لكي يرضي نفسه المريضة المجنونة مثلما شاهد فيديو مباشر تقطيع خاشجي رجل مريض نفسي cycopath نتمنى ان يستلم الحكم في السعودية لكي يتم تقسيمه,Offensive
@User.IDX شهداء.... و ذنب السيسي و اذنابه من حطب جهنم ,Offensive
ياخي سرت لا اراديا كل ما اشوف اسم ثنيان اكتئب خلاص طفشتو اهلنا ترا ول ,Non-Offensive
"""@User.IDX @User.IDX الحركة النازية ساعدت الحركة الصهيونية في تهجير يهود أوروبا إلى فلسطين، بالإضافة إلى دعم ألمانيا لدولة """"إسرائيل"""" سياسياً واقتصادياً وعسكرياً إلى جانب أمريكا ودول أوروبا وفي مقدمتهم روسيا 'الاتحاد السوفييتي' وبريطانيا وفرنسا. """,Non-Offensive
تريد تقترض منا اي اعطينا بعدين اقترض😂😂 ,Non-Offensive
راح الله معو يفرحيني شوبدو يعمل مع ربو كلون عهطريق ,Non-Offensive
عصابات حملت السلاح.. قتلت أبرياء.. هجّرت سكاناً أصليين.. ثم قالت: هيا بنا نبني دولة ديمقراطية! ,Non-Offensive
من أين تأتي ياتميم بهذا الكلام الذي يبعث الطمأنينة في قلوبنا بعد سماعنا لك وعن واقعنا الذي يمر بين ثنايا حروفك ابدعت جدا ,Non-Offensive
"""""""التعليم الحقيقي يبدأ بعد الجامعة"""" """,Non-Offensive
عمر انت سيء بالفلوقات ولاكن جيد ب اسلوب ال 3 دقايق ناقد ملوخاوي P: ,Non-Offensive
ناس الي تقول حلوين ولابقين لبعض ...اكيد الطيور على اشكالها تقع ... وخماج لبعضهم ..انتظروهم ..في رمضان قادم خانو بعضهم ..بعدو ما خططو لخيانة و طلاق مرتو سابقة ...ياجزيرة وخيتي ...اعرفي شتجبي ..علاه تشوه روحك ,Non-Offensive
"أتمنى تسوي حلقة عن كساد 2008 ، الى موافق يسوي لايك ",Non-Offensive
Big like😍😍😍ممكن تخلي صحابك يشتركوا لنوصل للالف 😊ونعلن عن رابحين بالمسابقة ,Non-Offensive
@User.IDX هل هاذا الإرهابي عمل هذي الجريمة بمشاركة او تم دفع له فلوس حتي يتم تغطية أفعال السعودية ومايفعل ابو منشار بالمهلكة ,Non-Offensive
@User.IDX حسبي الله ونعم الوكيل في المسؤل عن هذا الحادث الأليم ,Non-Offensive
@User.IDX يقول ذلك بكل فخر وهوالمؤيد للكيان الصهيوني وصهره إليهودي جاريد كوشنير لعب دورا كبيرا في بلورة هذا الموقف.المؤسف ان الإثنين يعدان من اصدقاء بعض العرب واقنعاهم بصفقة القرن التي من بين بنودها القضاء على احلام الفلسطينيين.ماذا فعل العرب اصدقاءه ردا ,Offensive
حلو التطبيل وبنستنا منك حلقة عن التسحيج👏👏👏 ,Offensive
@User.IDX كلام ترامب يعني ضرب إيران بالنووي ٠٠٠ إن شاءالله ٠ ,Offensive
كل ما تقول بص علي الحلقات الي فاتت جري افتح حلقه تانيه لينا الفخر والفشخره انك مصري لايك للمصريين ,Non-Offensive
مبروك يا خالدي 🎉🎊🎉🎊بس ان شاء الله تعقل 😂😂😂والله يتممها على خير👍✌ ,Non-Offensive
@User.IDX الله يحرقكم كلكم بقاز وسخ ,Offensive
كلامك صحيح يا عمر لأنك بتاخذ أمثلة بيل غيتس ومؤسسي جوجل وسناب شات (الأمثلة اللي أنت تعرفهم) لكن في غيرهم كثييير انطرد من جامعة أو مدرسة وحقق ثروة هائلة لكنك ما تعرفهم .. في أمثلة في السعودية والكويت والصين واليابان والإمارات والبحرين والهند وسنغافورة ..الخ لأشخاص مروا بظروف صعبة جدا وقدروا ينجحوا .. أكيد الدراسة هامة وتساعدك كثير وأسهل طريق لكن ليست الطريقة الوحيدة للنجاح .. ,Non-Offensive
لعنت الله عليك ياحمد وال سعود الموت لأمريكا والموت لليهود والموت لأسرائيل ,Offensive
@User.IDX قناه مفلسه ومفضوحه بكذبها العفن ومخزي جدا الجزيره الى مزبله التاريخ ,Offensive
@User.IDX @User.IDX سوريا حكمها الفرنسيين لمدة 26 عام والعثمانيين لمدة 400 سنة الحمدلله لم نحاول يوما ان نغير لغتنا بحجة ان فرنسا هي افضل منا في العلم واللغة الوحيدة المعترف فيها في كامل ارجاء سوريا هي العربية اللغة العربية من احد اللغات المعترف فيها في ا,Non-Offensive
هذا دليل اما على جهل الغرب او انهم يحصرون الساميه فقط بليهود وتحديدا اسرئيل للمحاربت العرب والمسلمين الذين هم من سلالة سام ابن نوح ,Non-Offensive
عمر اعترف بركت للعريس في الزفى😜😂🤣 ,Non-Offensive
"@User.IDX قالت عائلة الشاب الفلسطينى زكي مبارك المعتقل في السجون التركية، إن السلطات في أنقرة قتلت ابنها حتى لا تظهر براءته فى إحدى القضايا المعتقل على ذمتها. ياليت تكون عندكم مصدقيه وتجيبو تقرير عن الشاب الفلسطيني الذي قتل في سجون تركيا/عفوا نسيت ان تركي",Non-Offensive
@User.IDX نطالب حقوق الانسان والهيئات بالتحقيق في تعذيب وموت زكي الفلسطيني في السجون التركيه ,Non-Offensive
@User.IDX صراحه اخر وحده فيهم جابت العيد ,Non-Offensive
وايش بعد ههههههههه ليتك ماركزت عليها ,Non-Offensive
حنسميك عمو عمر. الي معي لايك 😂 ,Non-Offensive
@User.IDX الله ينصرها اذا كان ما قلته صحيحآ. ,Non-Offensive
@User.IDX قطر لديها علاقات قويه مع الكيان الاسرائيلي واعلاميها ماخذين الجنسيه الاسرائليه والي يحكمهم عزمي قذاره مع الكيان الاسرائيلي والفلس في الطين بينهم وثائق وعهود ونسب ومصاهره وبيع اراضي مع الاسرائليين وما جننهم الا السعوديه <url> ,Offensive
@User.IDX اجانب كلاب وضيعين مايتكلمون الا عن تاج راسهم السعودية ,Offensive
اسم الحلقه : زياره ليوم المهنه في لندن ,Non-Offensive
"الطبيب له حق يفتح عيادة خاصّة ومايقبل التأمين ولو ماتبغى تدفع فلوس زيادة روح المستشفيات الي يغطيها التأمين. والطبيب لما شاف العضة سوا لك فحوصات زيادة عشان يتأكد إنه مو مرض خطير يحتاج علاج، ولو ماسوا شيء كان اشتكيت انه مطنش. وأبدًا مو شرط إن كل الأطباء يتفقون على نفس العلاج ومو كلهم خطأ لأن الطبّ مبني على دراسات وأحيانًا علاجين يكون لهم فعالية مشابهة وكل دكتور يرى انه أفضل طبقًا للدراسات الي قرأها وخبرته. وأنت قلت بنفسك البشر مو آلات فيعني مو كل شخصين عندهم نفس المرض وعطيتهم نفس الدواء بيجيب نفس النتيجة. لأنهم بشر. فغلطتك أنت أنك تتوقع أن الطبيب ساحر وحيعالجك باللمسة السحرية. وأخيرًا دكتور جلس نص عمره يدرس ويتعب بالنهاية ما لأي أحد حق أنه يلومه إنه ياخذ حق تعبه مثل أي تخصص ثاني. حقيقة محتوى الفيديو ينمّ عن الجهل.. ",Non-Offensive
@User.IDX عندما نقول لا العهدة الخامسة نقول للعهدة الخامسة وما جاورها . ,Non-Offensive
"1:01 الي انتبه على زجاجة الخمر , لايك بدك تسكر هاااا !!!!!! ",Non-Offensive
@User.IDX لماذا لانهم لا يردون الخير لهذه البلدان ,Non-Offensive
يقول المضاجعات ولا انا ما اسمع ,Non-Offensive
"مش فارقه معاي ، وقت ما أفضى بشوفها ",Non-Offensive
طيب واللي ممكن يدفع مئة ريال عشان يشرب عصير اورنجينا !؟ يااخي اختفى من السعودية احد يقولي في اي مكان الاقيه وله هدية ,Non-Offensive
@User.IDX فلسطين تملك المال المساعدات المحاربين الرجال القادة وإذا لم يتحرك الفلسطينيون وينقذو فلسطين فمن يتحرك على كل مواطن أن يدافع عن وطنه ونحن ندافع عنكم بالدعاء ولانملك لكم ولالأنفسنا ضرا ولانفعا 😎 ,Non-Offensive
@User.IDX @User.IDX ايا كان دافع هذا الشخص نشكره على هذا الموقف ويؤلمني الغريب يتعاطف والقريب يسخط ويسب ويؤذي الانصاف شيء جميل ,Non-Offensive
@User.IDX ودك تكسر طبق بيض على راسه ماهو بيضه وحده 🙂 ,Offensive
"@User.IDX @User.IDX اكيد فيهم عرق عربي . اه صحي هم عرب ، يالله نبدأ جلد بالذات . يا عرب قد ضحكت من جهلكم الجاهلية الاولى ",Non-Offensive
المراءة المصرية معروفة بتعبها وشقاها اللهم عنها على شقاء الحياة ,Non-Offensive
